"Ielieta degviela l","Ielietās degvielas cena EUR/l","Ielietās degvielas izmaksas EUR","Ielietās degvielas kods",Laiks,,"Brauk- šanas laiks","Stāvē- šanas laiks","ielieta eļļa","Izlietotā degviela l Patēriņš",Maršruts,,Sētas,"Nobrauktie km","Odometra rād.",,"Vidējais ātrums km/h","Maksimālais ātrums km/h","Pavadz. Nr.","Krava t","Klienta paraksts"
,,,,Sākot,Beidzot,,,,,no,līdz,,,sākumā,beigās
,,,,"2018.02.01 9:08","2018.02.01 9:18","9 min","1 min, 21 sek",,"0,53","Pētera iela 23A, Jelgava","Dobeles šoseja 104, Jelgava",,"4,4","103476,7","103481,1",27,59,,,
,,,,"2018.02.01 9:19","2018.02.01 9:30","11 min","8 min",,"0,81","Dobeles šoseja 104, Jelgava","Zemgales prospekts 12, Jelgava",,"6,7","103481,1","103487,8",33,63,,,
,,,,"2018.02.01 9:39","2018.02.01 9:41","2 min, 41 sek","1 h, 3 min",,"0,12","Zemgales prospekts 12, Jelgava","Pētera iela 23A, Jelgava",,"1,0","103487,8","103488,8",18,39,,,
,,,,"2018.02.01 10:45","2018.02.01 10:56","10 min","14 min",,"0,58","Pētera iela 23A, Jelgava","Rīgas iela 67, Jelgava",,"4,8","103488,8","103493,6",25,52,,,
,,,,"2018.02.01 11:10","2018.02.01 11:28","17 min","44 min",,"1,17","Rīgas iela 67, Jelgava","Krišjāņa Barona iela 10, Jelgava",,"9,7","103493,6","103503,3",31,54,,,
,,,,"2018.02.01 12:12","2018.02.01 12:15","3 min","41 min",,"0,12","Krišjāņa Barona iela 10, Jelgava","Vaļņu iela 8, Jelgava",,"1,0","103503,3","103504,2",18,37,,,
,,,,"2018.02.01 12:57","2018.02.01 13:02","5 min","45 min",,"0,23","Vaļņu iela 8, Jelgava","Pasta iela 33, Jelgava",,"1,9","103504,3","103506,1",19,45,,,
,,,,"2018.02.01 13:48","2018.02.01 14:35","47 min","6 min",,"5,23","Pasta iela 33, Jelgava","Elijas iela 26, Rīga",,"43,3","103506,2","103549,4",53,95,,,
,,,,"2018.02.01 14:42","2018.02.01 15:31","49 min","5 min",,"6,06","Elijas iela 26, Rīga","Dzelzceļnieku iela 5, Jelgava",,"50,1","103549,5","103599,5",59,88,,,
,,,,"2018.02.01 15:36","2018.02.01 15:40","3 min","1 min, 11 sek",,"0,17","Dzelzceļnieku iela 5, Jelgava","Lielā iela 27, Jelgava",,"1,4","103599,6",103601,24,48,,,
,,,,"2018.02.01 15:41","2018.02.01 15:48","6 min","3 min",,"0,33","Lielā iela 27, Jelgava","Cīruļu iela 8, Jelgava",,"2,7",103601,"103603,7",20,50,,,
,,,,"2018.02.01 15:52","2018.02.01 16:06","14 min","13 min",,"0,89","Cīruļu iela 8, Jelgava","Satiksmes iela 30, Jelgava",,"7,4","103603,7","103611,1",29,49,,,
,,,,"2018.02.01 16:19","2018.02.01 16:30","10 min","5 h, 22 min",,"0,52","Satiksmes iela 30, Jelgava","Krišjāņa Barona iela 10, Jelgava",,"4,3","103611,1","103615,4",19,40,,,
,,,,"2018.02.01 21:52","2018.02.01 22:05","13 min","38 min",,"1,00","Krišjāņa Barona iela 10, Jelgava","Ceriņu iela 4, Ozolnieki",,"8,3","103615,4","103623,7",37,81,,,
,,,,"2018.02.01 22:44","2018.02.01 22:58","14 min","8 h, 43 min",,"1,03","Ceriņu iela 4, Ozolnieki","Krišjāņa Barona iela 10, Jelgava",,"8,5","103623,7","103632,2",33,81,,,
,,,,"2018.02.02 7:41","2018.02.02 7:42","41 sek","4 min",,"0,01","Krišjāņa Barona iela 10, Jelgava","Pasta iela 35A, Jelgava",,"0,1","103632,2","103632,3",6,10,,,
,,,,"2018.02.02 7:46","2018.02.02 7:54","7 min","8 min",,"0,40","Pasta iela 35A, Jelgava","Pētera iela 23A, Jelgava",,"3,1","103632,3","103635,4",21,49,,,
,,,,"2018.02.02 8:02","2018.02.02 8:06","3 min","9 min",,"0,13","Pētera iela 23A, Jelgava","Svētes iela 21, Jelgava",,"1,0","103635,4","103636,4",12,38,,,
,,,,"2018.02.02 8:16","2018.02.02 8:17","1 min, 47 sek","16 min",,"0,08","Svētes iela 21, Jelgava","Pētera iela 23A, Jelgava",,"0,6","103636,4","103636,9",11,19,,,
,,,,"2018.02.02 8:34","2018.02.02 8:38","4 min","9 min",,"0,14","Pētera iela 23A, Jelgava","Pasta iela 33, Jelgava",,"1,1",103637,"103638,1",12,45,,,
,,,,"2018.02.02 8:48","2018.02.02 8:54","6 min","55 min",,"0,27","Pasta iela 33, Jelgava","Pētera iela 23A, Jelgava",,"2,1","103638,1","103640,2",17,42,,,
,,,,"2018.02.02 9:49","2018.02.02 9:53","3 min","17 min",,"0,15","Pētera iela 23A, Jelgava","Cīruļu iela 8, Jelgava",,"1,2","103640,2","103641,4",15,36,,,
,,,,"2018.02.02 10:10","2018.02.02 10:14","3 min","5 min",,"0,17","Cīruļu iela 8, Jelgava","Lietuvas šoseja 2B, Jelgava",,"1,3","103641,4","103642,7",17,54,,,
,,,,"2018.02.02 10:20","2018.02.02 10:23","3 min","1 min, 21 sek",,"0,23","Lietuvas šoseja 2B, Jelgava","Miera iela 8, Jelgava",,"1,8","103642,7","103644,5",27,49,,,
,,,,"2018.02.02 10:25","2018.02.02 11:03","37 min","1 min, 8 sek",,"5,18","Miera iela 8, Jelgava","Vienības gatve 90, Rīga",,"40,4","103644,5","103684,9",63,96,,,
,,,,"2018.02.02 11:04","2018.02.02 11:10","6 min","4 min",,"0,60","Vienības gatve 90, Rīga","Elijas iela 13, Rīga",,"4,7","103684,9","103689,6",42,68,,,
,,,,"2018.02.02 11:15","2018.02.02 11:46","31 min","3 min",,"2,52","Elijas iela 13, Rīga","Uguns iela 8, Rīga",,"19,7","103689,6","103709,3",36,63,,,
,,,,"2018.02.02 11:50","2018.02.02 12:15","24 min","6 min",,"1,78","Uguns iela 8, Rīga","Grostonas iela 12, Rīga",,"13,9","103709,3","103723,2",33,64,,,
,,,,"2018.02.02 12:21","2018.02.02 13:17","56 min","1 h, 20 min",,"6,39","Grostonas iela 12, Rīga","Vaļņu iela 8, Jelgava",,"49,9","103723,2","103773,1",52,95,,,
,,,,"2018.02.02 14:38","2018.02.02 14:42","4 min","1 min, 10 sek",,"0,22","Vaļņu iela 8, Jelgava","Filozofu iela 62, Jelgava",,"1,7","103773,1","103774,8",19,43,,,
,,,,"2018.02.02 14:44","2018.02.02 15:01","17 min","44 min",,"1,08","Filozofu iela 62, Jelgava","Pētera iela 23A, Jelgava",,"8,4","103774,8","103783,2",27,49,,,
,,,,"2018.02.02 15:45","2018.02.02 15:53","7 min","12 min",,"0,31","Pētera iela 23A, Jelgava","Aveņu iela 37, Jelgava",,"2,4","103783,2","103785,6",17,47,,,
,,,,"2018.02.02 16:05","2018.02.02 16:14","9 min","3 min",,"0,45","Aveņu iela 37, Jelgava","Pasta iela 35, Jelgava",,"3,5","103785,6",103789,21,54,,,
,,,,"2018.02.02 16:18","2018.02.02 16:23","5 min","4 h, 14 min",,"0,32","Pasta iela 35, Jelgava","Aveņu iela 37, Jelgava",,"2,5","103789,1","103791,6",24,58,,,
,,,,"2018.02.02 20:38","2018.02.02 20:46","8 min","2 min, 1 sek",,"0,46","Aveņu iela 37, Jelgava","Puķu iela 30, Jelgava",,"3,6","103791,6","103795,2",23,52,,,
,,,,"2018.02.02 20:48","2018.02.02 20:52","3 min","1 min, 5 sek",,"0,15","Puķu iela 30, Jelgava","Lielā iela 13, Jelgava",,"1,2","103795,2","103796,3",16,47,,,
,,,,"2018.02.02 20:53","2018.02.02 20:58","4 min","1 d, 14 h, 27 min",,"0,31","Lielā iela 13, Jelgava","Aveņu iela 36, Jelgava",,"2,4","103796,4","103798,8",31,50,,,
,,,,"2018.02.04 11:26","2018.02.04 11:35","8 min","2 min, 29 sek",,"0,97","Aveņu iela 36, Jelgava","Parka iela 36, Jelgava",,"5,2","103798,8",103804,32,63,,,
,,,,"2018.02.04 11:37","2018.02.04 11:38","43 sek","3 min",,"0,13","Parka iela 36, Jelgava","Garozas iela 49, Jelgava",,"0,7",103804,"103804,2",20,29,,,
